Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0.245	10												
0.5881	10								Retention time to be analyzed 2.4259-3.112 min				
1.1272	10												
1.5927	10			2.4014	60								
1.6418	10			2.4259	70								
1.7153	10			2.4504	100	2.4259	70						
2.6709	10			2.4749	190	2.4504	140						
2.818	10	2.4259	40	2.4994	120	2.4749	90						
2.9405	10	2.4504	150	2.5239	300	2.4994	320						
3.5286	10	2.4749	180	2.5484	490	2.5239	560						
3.7001	10	2.4994	330	2.5729	410	2.5484	450						
3.8226	10	2.5239	350	2.5974	670	2.5729	880						
3.8471	10	2.5484	650	2.6219	550	2.5974	500						
3.8716	40	2.5729	800	2.6464	480	2.6219	470						
4.6312	10	2.5974	650	2.6709	370	2.6464	470						
4.7293	10	2.6219	430	2.6954	250	2.6709	410						
4.9988	10	2.6464	440	2.7199	170	2.6954	260						
		2.6709	370	2.7444	80	2.7199	160						
		2.6954	360	2.7689	140	2.7444	130						
		2.7199	110	2.7935	110	2.7689	210						
		2.7444	130	2.818	130	2.7935	150		Average	STDEV	3*STDEV	LOD	
		2.7689	80	2.8424	170	2.818	150		40	#DIV/0!	#DIV/0!	#DIV/0!	
		2.7935	150	2.867	270	2.8424	90						
		2.818	160	2.8915	170	2.867	150						
		2.8424	120	2.916	250	2.8915	140						
		2.867	140	2.9405	340	2.916	120						
		2.8915	170	2.965	220	2.9405	230						
		2.916	200	2.9895	80	2.965	130						
		2.9405	190	3.014	110	2.9895	100						
		2.965	130			3.014	100						
		2.9895	150										
		3.014	120										
