Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0.245	10												
0.5881	10								Retention time to be analyzed 2.401-3.112 min				
1.1272	10												
1.5927	10												
1.6418	10	2.4014	70										
1.7153	10	2.4259	50										
2.6709	10	2.4504	50										
2.818	10	2.4749	160										
2.9405	10	2.4994	300			2.4259	100						
3.5286	10	2.5239	260			2.4504	80						
3.7001	10	2.5484	610	2.4014	60	2.4749	190						
3.8226	10	2.5729	670	2.4259	10	2.4994	220						
3.8471	10	2.5974	550	2.4504	80	2.5239	270						
3.8716	40	2.6219	590	2.4749	170	2.5484	410						
4.6312	10	2.6464	400	2.4994	310	2.5729	530						
4.7293	10	2.6709	200	2.5239	370	2.5974	440						
4.9988	10	2.6954	230	2.5484	530	2.6219	460						
		2.7199	50	2.5729	420	2.6464	420						
		2.7444	80	2.5974	490	2.6709	120						
		2.7689	70	2.6219	480	2.6954	140						
		2.7935	100	2.6464	380	2.7199	110			Average	STDEV 	3*STDEV	LOD
		2.818	60	2.6709	180	2.7444	70			#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		2.8424	60	2.6954	20	2.7689	40						
		2.867	60	2.7199	140	2.7935	40						
		2.8915	120	2.7444	70	2.818	50						
		2.916	150	2.7689	90	2.8424	50						
		2.9405	170	2.7935	90	2.867	190						
		2.965	190	2.818	80	2.8915	150						
		2.9895	90	2.8424	70	2.916	120						
		3.014	50	2.867	110	2.9405	100						
				2.8915	170	2.965	260						
				2.916	70	2.9895	250						
				2.9405	150	3.014	110						
				2.965	120								
				2.9895	140								
				3.014	110								
