Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0.245	10												
0.5881	10												
1.1272	10								Retention time to be analyzed 2.3769-3.112 min				
1.5927	10												
1.6418	10												
1.7153	10	2.4504	120										
2.6709	10	2.4749	150										
2.818	10	2.4994	330			2.4259	30						
2.9405	10	2.5239	260			2.4504	60						
3.5286	10	2.5484	370			2.4749	130						
3.7001	10	2.5729	890	2.4259	40	2.4994	260						
3.8226	10	2.5974	570	2.4504	50	2.5239	310						
3.8471	10	2.6219	720	2.4749	170	2.5484	500						
3.8716	40	2.6464	820	2.4994	190	2.5729	690						
4.6312	10	2.6709	380	2.5239	230	2.5974	870						
4.7293	10	2.6954	290	2.5484	320	2.6219	660						
4.9988	10	2.7199	190	2.5729	600	2.6464	390						
		2.7444	180	2.5974	740	2.6709	270						
		2.7689	230	2.6219	670	2.6954	260						
		2.7935	160	2.6464	730	2.7199	240						
		2.818	230	2.6709	370	2.7444	200						
		2.8424	180	2.6954	190	2.7689	120			Average	STDEV	3*STDEV	LOD
		2.867	140	2.7199	190	2.7935	70			#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		2.8915	70	2.7444	120	2.818	150						
		2.916	260	2.7689	250	2.8424	190						
		2.9405	210	2.7935	100	2.867	140						
		2.965	210	2.818	280	2.8915	250						
		2.9895	140	2.8424	160	2.916	280						
		3.014	80	2.867	130	2.9405	140						
		3.0385	70	2.8915	130	2.965	200						
		3.063	30	2.916	150	2.9895	160						
				2.9405	180	3.014	80						
				2.965	200	3.0385	40						
				2.9895	180	3.063	20						
				3.014	110								
				3.0385	70								
				3.063	30								
