Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0.245	10												
0.5881	10												
1.1272	10								Retention time to be analyzed 2.3769-3.112 min				
1.5927	10												
1.6418	10												
1.7153	10												
2.6709	10												
2.818	10												
2.9405	10	2.4504	100			2.4259	80						
3.5286	10	2.4749	170			2.4504	130						
3.7001	10	2.4994	380	2.4504	80	2.4749	120						
3.8226	10	2.5239	270	2.4749	180	2.4994	300						
3.8471	10	2.5484	520	2.4994	300	2.5239	290						
3.8716	40	2.5729	370	2.5239	250	2.5484	340						
4.6312	10	2.5974	420	2.5484	350	2.5729	560						
4.7293	10	2.6219	460	2.5729	520	2.5974	370						
4.9988	10	2.6464	230	2.5974	680	2.6219	520						
		2.6709	190	2.6219	380	2.6464	430						
		2.6954	90	2.6464	330	2.6709	160						
		2.7199	150	2.6709	140	2.6954	120						
		2.7444	100	2.6954	110	2.7199	110						
		2.7689	110	2.7199	100	2.7444	100			Average	STDEV	3*STDEV	LOD
		2.7935	90	2.7444	120	2.7689	90			#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		2.818	80	2.7689	70	2.818	40						
		2.8424	140	2.7935	30	2.8424	90						
		2.867	120	2.818	30	2.867	170						
		2.8915	230	2.8424	70	2.8915	140						
		2.916	120	2.867	200	2.916	250						
		2.9405	260	2.8915	120	2.9405	180						
		2.965	50	2.916	180	2.965	140						
		2.9895	100	2.9405	140	2.9895	110						
		3.014	70	2.965	90	3.014	150						
		3.0385	10	2.9895	120	3.0385	80						
		3.063	30	3.014	50	3.063	60						
		3.0875	100	3.0385	70	3.0875	20						
		3.112	20	3.063	40	3.112	10						
				3.0875	50								
				3.112	20								
