Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0.098	10												
0.1225	10								Retention times to be analyzed 2.379-2.867 min				
0.245	10												
0.3185	10												
0.4411	10												
0.4656	10												
0.5881	10												
0.6126	10												
0.8331	20												
0.9556	10												
1.9113	20												
2.1319	20												
2.3034	10												
2.3524	10	2.3524	180										
2.6709	10	2.3769	710			2.3524	260						
2.8424	10	2.4014	1950			2.3769	500						
3.161	10	2.4259	2900			2.4014	2050						
3.357	10	2.4504	4820			2.4259	3690						
3.3816	10	2.4749	10100			2.4504	8250						
3.455	20	2.4994	22870	2.3524	210	2.4749	11910			Average	STDEV	3*STDEV	LOD
3.6266	10	2.5239	21910	2.3769	510	2.4994	22930			180	#DIV/0!	#DIV/0!	#DIV/0!
3.9696	20	2.5484	36570	2.4014	1300	2.5239	27400						
4.2392	10	2.5729	53070	2.4259	3830	2.5484	35970						
4.4842	10	2.5974	51280	2.4504	6840	2.5729	47730						
4.5087	10	2.6219	60840	2.4749	9030	2.5974	61280						
4.9743	10	2.6464	37480	2.4994	20390	2.6219	51390						
		2.6709	29670	2.5239	33990	2.6464	29960						
		2.6954	18850	2.5484	40500	2.6709	28450						
		2.7199	12990	2.5729	57370	2.6954	19640						
		2.7444	11800	2.5974	76840	2.7199	12390						
		2.7689	9780	2.6219	48940	2.7444	10570						
		2.7935	6210	2.6464	32290	2.7689	10750						
		2.818	2850	2.6709	29030	2.7935	7960						
		2.8424	1290	2.6954	14150	2.818	2700						
				2.7199	13330	2.8424	1150						
				2.7444	13510								
				2.7689	10960								
				2.7935	6750								
				2.818	2700								
				2.8424	1720								
