Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0	10												
0.0245	20												
0.049	20								Retention time to be analyzed 2.3796-3.259 min				
0.0735	30												
0.147	10												
0.196	10												
0.3431	10												
0.4411	50												
0.6126	10												
0.6861	10												
1.0047	20												
1.0292	10												
1.0537	10												
1.0782	10												
1.1272	10												
1.1517	10												
1.2742	20												
1.3722	10												
1.3967	20												
1.4702	10												
1.5682	10									Average	STDEV 	3*STDEV	LOD
1.7398	10									#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
1.7888	20												
1.8623	10												
1.9113	30												
1.9603	10												
2.1319	30												
2.1563	10												
2.1809	10					2.4259	100						
2.2053	10			2.4014	60	2.4504	160						
2.2544	10			2.4259	130	2.4749	230						
2.3769	10	2.4014	60	2.4504	100	2.4994	480						
2.5239	10	2.4259	110	2.4749	320	2.5239	480						
2.5484	20	2.4504	250	2.4994	590	2.5484	520						
2.6709	10	2.4749	300	2.5239	370	2.5729	780						
2.6954	10	2.4994	300	2.5484	670	2.5974	560						
2.818	10	2.5239	600	2.5729	780	2.6219	710						
2.8424	30	2.5484	830	2.5974	430	2.6464	580						
2.9405	10	2.5729	790	2.6219	330	2.6709	270						
3.2835	30	2.5974	890	2.6464	350	2.6954	210						
3.357	10	2.6219	590	2.6709	310	2.7199	80						
3.406	10	2.6464	430	2.6954	250	2.7444	60						
3.5041	20	2.6709	330	2.7199	60	2.7689	20						
3.5531	10	2.6954	130	2.7444	100	2.7935	60						
3.6021	10	2.7199	160	2.7689	130	2.818	40						
3.6266	10	2.7444	80	2.7935	60	2.8424	90						
3.7491	10	2.7689	60	2.818	40	2.867	120						
3.7981	20	2.7935	70	2.8424	120	2.8915	160						
3.8226	10	2.818	80	2.867	90	2.916	160						
3.8961	30	2.8424	130	2.8915	160	2.9405	270						
3.9451	10	2.867	140	2.916	190	2.965	130						
3.9696	10	2.8915	130	2.9405	80	2.9895	110						
4.0187	10	2.916	180	2.965	220	3.014	60						
4.0431	20	2.9405	90	2.9895	200								
4.1412	10	2.965	180	3.014	130								
4.1902	10	2.9895	110										
4.3127	10	3.014	70										
4.4107	10												
4.5332	10												
4.6803	20												
4.7783	10												
4.9498	20												
5.0723	20												
